TID,Itemset
1,"Wine, Chips, Bread, Butter, Milk, Apple"
2,"Wine, Bread, Butter, Milk"
3,"Bread, Butter, Milk"
4,"Chips, Butter, Apple"
5,"Wine, Chips, Bread, Butter, Milk, Apple"
6,"Wine, Chips, Milk"
7,"Wine, Chips, Bread, Butter, Apple"
8,"Wine, Chips, Milk"
9,"Wine, Bread, Apple"
10,"Wine, Bread, Butter, Milk"
11,"Chips, Bread, Butter, Apple"
12,"Wine, Butter, Milk, Apple"
13,"Wine, Chips, Bread, Butter, Milk"
14,"Wine, Bread, Milk, Apple"
15,"Wine, Bread, Butter, Milk, Apple"
16,"Wine, Chips, Bread, Butter, Milk, Apple"
17,"Chips, Bread, Butter, Milk, Apple"
18,"Chips, Butter, Milk, Apple"
19,"Wine, Chips, Bread, Butter, Milk, Apple"
20,"Wine, Bread, Butter, Milk, Apple"
21,"Wine, Chips, Bread, Milk, Apple"
22,"Chips, Bread, Milk"
